Dose in , Sclera:1_23.stl , 2.32323  , nanoGy
Dose in , Choroidea:1_8.stl , 1.74139  , nanoGy
Dose in , Glaskörper:1_0.stl , 416.956 , Gy
Dose in , Glaskörper:1_1.stl , 304.402  , picoGy 
Dose in , Choroidea:1_9.stl , 3.42842  , nanoGy
Dose in , Sclera:1_22.stl , 619.156  , picoGy
Dose in , Sclera:1_20.stl , 251.514  , picoGy
Dose in , Glaskörper:1_3.stl , 329.001  , picoGy
Dose in , Glaskörper:1_2.stl , 213.071  , picoGy
Dose in , Sclera:1_21.stl , 2.78263  , nanoGy
Dose in , PapilleNetzhaut:1_0.stl , 0  , picoGy
Dose in , Sclera:1_19.stl , 266.325  , picoGy
Dose in , Perifovea:1_2.stl , 3.8029  , nanoGy
Dose in , Glaskörper:1_6.stl , 536.47  , picoGy
Dose in , Glaskörper:1_7.stl , 0  , picoGy
Dose in , Perifovea:1_3.stl , 0  , picoGy
Dose in , Sclera:1_18.stl , 3.29075  , nanoGy
Dose in , PapilleNetzhaut:1_1.stl , 0  , picoGy
Dose in , Perifovea:1_1.stl , 0  , picoGy
Dose in , Glaskörper:1_5.stl , 0  , picoGy
Dose in , Glaskörper:1_4.stl , 193.567  , picoGy
Dose in , Perifovea:1_0.stl , 0  , picoGy
Dose in , Choroidea:1_15.stl , 1.33914  , nanoGy
Dose in , Glaskörper:1_13.stl , 147.175  , picoGy
Dose in , Glaskörper:1_12.stl , 644.18  , picoGy
Dose in , Choroidea:1_14.stl , 8.55941  , nanoGy
Dose in , Choroidea:1_16.stl , 403.483  , picoGy
Dose in , Netzhaut:1_18.stl , 0  , picoGy
Dose in , Fovea:1_0.stl , 0  , picoGy
Dose in , Glaskörper:1_10.stl , 1.09965  , nanoGy
Dose in , Glaskörper:1_11.stl , 280.311  , picoGy
Dose in , Fovea:1_1.stl , 0  , picoGy
Dose in , Netzhaut:1_19.stl , 1.41871  , nanoGy
Dose in , Choroidea:1_17.stl , 0  , picoGy
Dose in , PapilleChoroidea:1_0.stl , 0  , picoGy
Dose in , Choroidea:1_13.stl , 638.037  , picoGy
Dose in , Sclera:1_9.stl , 3.55227  , nanoGy
Dose in , Netzhaut:1_21.stl , 2.58898  , nanoGy
Dose in , Glaskörper:1_15.stl , 430.814  , picoGy
Dose in , Netzhaut:1_9.stl , 1.05482  , nanoGy
Dose in , Netzhaut:1_8.stl , 2.56079  , nanoGy
Dose in , Glaskörper:1_14.stl , 2.24709  , nanoGy
Dose in , Netzhaut:1_20.stl , 0  , picoGy
Dose in , Sclera:1_8.stl , 968.115  , picoGy
Dose in , Choroidea:1_12.stl , 0  , picoGy
Dose in , PapilleChoroidea:1_1.stl , 0  , picoGy
Dose in , Choroidea:1_10.stl , 5.73538  , nanoGy
Dose in , Netzhaut:1_22.stl , 746.865  , picoGy
Dose in , Glaskörper:1_16.stl , 534.482  , picoGy
Dose in , Target:1_0.stl , 6.55958  , nanoGy
Dose in , Glaskörper:1_17.stl , 0  , picoGy
Dose in , Netzhaut:1_23.stl , 0  , picoGy
Dose in , Choroidea:1_11.stl , 0  , picoGy
Dose in , Kammerwasser:1_3.stl , 0  , picoGy
Dose in , Choroidea:1_20.stl , 0  , picoGy
Dose in , Linse:1_7.stl , 0  , picoGy
Dose in , Sclera:1_6.stl , 657.656  , picoGy
Dose in , Applikator:1_1.stl , 1.81351  , nanoGy
Dose in , Netzhaut:1_12.stl , 0  , picoGy
Dose in , PapilleSclera:1_0.stl , 0  , picoGy
Dose in , Cornea:1_6.stl , 874.051  , picoGy
Dose in , Netzhaut:1_6.stl , 418.548  , picoGy
Dose in , Netzhaut:1_7.stl , 0  , picoGy
Dose in , Cornea:1_7.stl , 0  , picoGy
Dose in , PapilleSclera:1_1.stl , 0  , picoGy
Dose in , Netzhaut:1_13.stl , 844.166  , picoGy
Dose in , Applikator:1_0.stl , 4.2761  , nanoGy
Dose in , Linse:1_6.stl , 0  , picoGy
Dose in , Sclera:1_7.stl , 0  , picoGy
Dose in , Choroidea:1_21.stl , 1.32443  , nanoGy
Dose in , Kammerwasser:1_2.stl , 2.78421  , nanoGy
Dose in , Kammerwasser:1_0.stl , 4.18116  , nanoGy
Dose in , Choroidea:1_23.stl , 3.86451  , nanoGy
Dose in , Sclera:1_5.stl , 2.89357  , nanoGy
Dose in , Linse:1_4.stl , 0  , picoGy
Dose in , Netzhaut:1_11.stl , 0  , picoGy
Dose in , Applikator:1_2.stl , 3.23852  , nanoGy
