Dose in ,Sclera:1_1266, 178.101, nanoGy 
Dose in ,Glaskörper:1_1125, 168.542, nanoGy 
Dose in ,Glaskörper:1_5343, 97.5469, nanoGy 
Dose in ,Netzhaut:1_1752, 667.848, nanoGy 
Dose in ,Linse:1_283, 62.5647, nanoGy 
Dose in ,Glaskörper:1_3732, 191.616, nanoGy 
Dose in ,Glaskörper:1_3054, 239.419, nanoGy 
Dose in ,Sclera:1_2009, 52.4328, nanoGy 
Dose in ,Netzhaut:1_1034, 221.793, nanoGy 
Dose in ,Glaskörper:1_5425, 88.5363, nanoGy 
Dose in ,Glaskörper:1_1643, 136.762, nanoGy 
Dose in ,Sclera:1_1500, 762.862, nanoGy 
Dose in ,Sclera:1_727, 403.37, nanoGy 
Dose in ,Glaskörper:1_1657, 0, picoGy 
Dose in ,Glaskörper:1_6138, 63.1521, nanoGy 
Dose in ,Kammerwasser:1_89, 0, picoGy 
Dose in ,Sclera:1_1514, 0, picoGy 
Dose in ,Sclera:1_733, 320.472, nanoGy 
Dose in ,Glaskörper:1_3040, 26.323, nanoGy 
Dose in ,Netzhaut:1_1020, 56.3349, nanoGy 
Dose in ,Glaskörper:1_5431, 27.5344, nanoGy 
Dose in ,Glaskörper:1_2438, 23.1001, nanoGy 
Dose in ,Kammerwasser:1_628, 0, picoGy 
Dose in ,Glaskörper:1_5357, 29.0493, nanoGy 
Dose in ,Netzhaut:1_1746, 43.7226, nanoGy 
Dose in ,Glaskörper:1_4049, 0, picoGy 
Dose in ,Glaskörper:1_3726, 180.126, nanoGy 
Dose in ,Linse:1_297, 58.5128, nanoGy 
Dose in ,Sclera:1_1272, 0, picoGy 
Dose in ,Glaskörper:1_228, 287.737, nanoGy 
Dose in ,Glaskörper:1_1131, 118.669, nanoGy 
Dose in ,Kammerwasser:1_600, 101.972, nanoGy 
Dose in ,Glaskörper:1_2410, 74.3901, nanoGy 
Dose in ,Glaskörper:1_4061, 55.3912, nanoGy 
Dose in ,Sclera:1_2753, 90.1667, nanoGy 
Dose in ,Sehnerv:1_397, 0, picoGy 
Dose in ,Netzhaut:1_2267, 207.799, nanoGy 
Dose in ,Glaskörper:1_200, 186.112, nanoGy 
Dose in ,Applikator:1_495, 227.699, nanoGy 
Dose in ,Glaskörper:1_1119, 130.244, nanoGy 
Dose in ,Glaskörper:1_566, 84.2738, nanoGy 
Dose in ,Glaskörper:1_6110, 82.8979, nanoGy 
Dose in ,Glaskörper:1_3068, 0, picoGy 
Dose in ,Netzhaut:1_1008, 251.523, nanoGy 
Dose in ,Glaskörper:1_4707, 110.698, nanoGy 
Dose in ,Sclera:1_2035, 103.17, nanoGy 
Dose in ,Glaskörper:1_5419, 92.8436, nanoGy 
Dose in ,Kammerwasser:1_166, 813.015, nanoGy 
Dose in ,Choroidea:1_1289, 56.7783, nanoGy 
Dose in ,Glaskörper:1_2376, 30.9871, nanoGy 
Dose in ,Glaskörper:1_4713, 97.6927, nanoGy 
Dose in ,Sclera:1_2021, 78.8383, nanoGy 
Dose in ,Glaskörper:1_2362, 37.1644, nanoGy 
Dose in ,Kammerwasser:1_172, 177.506, nanoGy 
Dose in ,Glaskörper:1_572, 210.381, nanoGy 
Dose in ,Glaskörper:1_6104, 111.599, nanoGy 
Dose in ,Sclera:1_1528, 94.1633, nanoGy 
Dose in ,Netzhaut:1_2273, 0, picoGy 
Dose in ,Glaskörper:1_214, 157.803, nanoGy 
Dose in ,Glaskörper:1_6662, 196.541, nanoGy 
Dose in ,Applikator:1_481, 354.808, nanoGy 
Dose in ,Glaskörper:1_2404, 417.11, nanoGy 
Dose in ,Kammerwasser:1_614, 519.351, nanoGy 
Dose in ,Glaskörper:1_4075, 106.738, nanoGy 
Dose in ,Sclera:1_2747, 251.826, nanoGy 
Dose in ,Sehnerv:1_383, 0, picoGy 
Dose in ,Netzhaut:1_1791, 124.381, nanoGy 
Dose in ,Linse:1_240, 0, picoGy 
Dose in ,Sehnerv:1_368, 0, picoGy 
Dose in ,Choroidea:1_1510, 0, picoGy 
Dose in ,Netzhaut:1_1949, 653.353, nanoGy 
Dose in ,Glaskörper:1_3929, 39.2474, nanoGy 
Dose in ,Glaskörper:1_5380, 208.304, nanoGy 
Dose in ,Choroidea:1_417, 378.464, nanoGy 
Dose in ,Choroidea:1_2019, 295.516, nanoGy 
Dose in ,Glaskörper:1_1858, 254.451, nanoGy 
Dose in ,Glaskörper:1_1680, 9.5662, nanoGy 
Dose in ,Choroidea:1_371, 495.357, nanoGy 
Dose in ,Glaskörper:1_599, 127.518, nanoGy 
Dose in ,Glaskörper:1_2389, 91.9969, nanoGy 
Dose in ,Choroidea:1_1276, 153.33, nanoGy 
Dose in ,Kammerwasser:1_199, 43.8463, nanoGy 
Dose in ,Glaskörper:1_4920, 112.685, nanoGy 
Dose in ,Glaskörper:1_3097, 54.3485, nanoGy 
Dose in ,Choroidea:1_1262, 130.443, nanoGy 
Dose in ,Glaskörper:1_4934, 45.6213, nanoGy 
Dose in ,Glaskörper:1_3083, 4.2159, nanoGy 
Dose in ,Glaskörper:1_1694, 61.0839, nanoGy 
Dose in ,Sclera:1_928, 321.024, nanoGy 
Dose in ,Choroidea:1_365, 95.1791, nanoGy 
Dose in ,Applikator:1_318, 95.189, nanoGy 
Dose in ,Choroidea:1_403, 609.252, nanoGy 
Dose in ,Netzhaut:1_348, 244.141, nanoGy 
Dose in ,Netzhaut:1_1785, 4.26757, microGy
Dose in ,Linse:1_254, 22.0556, nanoGy 
Dose in ,Choroidea:1_1504, 857.111, nanoGy 
Dose in ,Glaskörper:1_5394, 0, picoGy 
Dose in ,Applikator:1_456, 0, picoGy 
Dose in ,Choroidea:1_2025, 0, picoGy 
Dose in ,Sclera:1_1299, 16.1775, nanoGy 
Dose in ,Netzhaut:1_360, 57.2688, nanoGy 
Dose in ,Sclera:1_2790, 399.947, nanoGy 
Dose in ,Sehnerv:1_354, 0, picoGy 
Dose in ,Applikator:1_17, 202.601, nanoGy 
Dose in ,Netzhaut:1_1975, 812.122, nanoGy 
Dose in ,Glaskörper:1_3915, 26.2891, nanoGy 
Dose in ,Sehnerv:1_432, 6.12267, nanoGy 
Dose in ,Netzhaut:1_406, 86.0845, nanoGy 
Dose in ,Glaskörper:1_1864, 154.768, nanoGy 
Dose in ,Kammerwasser:1_62, 164.735, nanoGy 
Dose in ,Applikator:1_330, 420.314, nanoGy 
Dose in ,Sclera:1_900, 371.104, nanoGy 
Dose in ,Glaskörper:1_1870, 40.4652, nanoGy 
Dose in ,Sclera:1_914, 69.9442, nanoGy 
Dose in ,Choroidea:1_359, 0, picoGy 
Dose in ,Applikator:1_324, 276.551, nanoGy 
Dose in ,Kammerwasser:1_76, 218.141, nanoGy 
Dose in ,Glaskörper:1_4908, 0, picoGy 
Dose in ,Sehnerv:1_426, 29.4762, nanoGy 
Dose in ,Netzhaut:1_412, 0, picoGy 
Dose in ,Netzhaut:1_374, 343.485, nanoGy 
Dose in ,Sclera:1_2784, 167.284, nanoGy 
Dose in ,Sehnerv:1_340, 0, picoGy 
Dose in ,Linse:1_268, 0, picoGy 
Dose in ,Netzhaut:1_1961, 101.548, nanoGy 
Dose in ,PapilleNetzhaut:1_6, 0, picoGy 
Dose in ,Choroidea:1_1538, 376.677, nanoGy 
Dose in ,Glaskörper:1_3901, 62.6584, nanoGy 
Dose in ,Applikator:1_442, 0, picoGy 
Dose in ,Choroidea:1_2031, 0, picoGy 
Dose in ,Glaskörper:1_980, 88.9217, nanoGy 
Dose in ,Sclera:1_525, 293.968, nanoGy 
Dose in ,Sclera:1_1702, 380.574, nanoGy 
Dose in ,Glaskörper:1_758, 97.4645, nanoGy 
Dose in ,Glaskörper:1_1441, 0, picoGy 
Dose in ,Netzhaut:1_823, 364.123, nanoGy 
Dose in ,Glaskörper:1_2148, 128.832, nanoGy 
Dose in ,Kammerwasser:1_358, 102.97, nanoGy 
Dose in ,Glaskörper:1_5627, 152.882, nanoGy 
Dose in ,Glaskörper:1_4539, 51.3682, nanoGy 
Dose in ,Netzhaut:1_1236, 31.2411, nanoGy 
Dose in ,Glaskörper:1_3256, 168.602, nanoGy 
Dose in ,Glaskörper:1_3530, 52.0947, nanoGy 
Dose in ,Netzhaut:1_1550, 0, picoGy 
Dose in ,Choroidea:1_1909, 0, picoGy 
Dose in ,Glaskörper:1_5141, 122.603, nanoGy 
Dose in ,Glaskörper:1_1327, 11.3948, nanoGy 
Dose in ,Glaskörper:1_6448, 102.829, nanoGy 
Dose in ,Sclera:1_1064, 0, picoGy 
Dose in ,Netzhaut:1_2059, 0, picoGy 
Dose in ,Applikator:1_873, 0, picoGy 
Dose in ,Sclera:1_23, 129.62, nanoGy 
Dose in ,Sclera:1_243, 0, picoGy 
Dose in ,Glaskörper:1_1333, 69.9719, nanoGy 
Dose in ,Sclera:1_1070, 6.41844, nanoGy 
Dose in ,Sclera:1_257, 0, picoGy 
Dose in ,Sclera:1_37, 558.659, nanoGy 
Dose in ,Applikator:1_867, 292.892, nanoGy 
Dose in ,Glaskörper:1_3524, 0, picoGy 
Dose in ,Netzhaut:1_189, 369.43, nanoGy 
Dose in ,Netzhaut:1_1544, 758.299, nanoGy 
Dose in ,Sclera:1_2579, 0, picoGy 
Dose in ,Glaskörper:1_5155, 36.3437, nanoGy 
Dose in ,Netzhaut:1_837, 0, picoGy 
Dose in ,Glaskörper:1_5633, 59.9668, nanoGy 
Dose in ,Netzhaut:1_1222, 463.474, nanoGy 
Dose in ,Glaskörper:1_3242, 75.645, nanoGy 
Dose in ,Glaskörper:1_994, 36.3136, nanoGy 
Dose in ,Sclera:1_531, 229.777, nanoGy 
Dose in ,Sclera:1_1716, 216.474, nanoGy 
Dose in ,Glaskörper:1_1455, 66.0771, nanoGy 
Dose in ,Glaskörper:1_2174, 131.234, nanoGy 
Dose in ,Kammerwasser:1_364, 104.528, nanoGy 
Dose in ,Sclera:1_2237, 6.75967, nanoGy 
Dose in ,Glaskörper:1_4505, 137.516, nanoGy 
Dose in ,Choroidea:1_76, 218.018, nanoGy 
Dose in ,Sclera:1_519, 69.8442, nanoGy 
Dose in ,Cornea:1_57, 446.291, nanoGy 
Dose in ,Glaskörper:1_6312, 268.509, nanoGy 
Dose in ,Glaskörper:1_764, 197.999, nanoGy 
Dose in ,Applikator:1_697, 77.2636, nanoGy 
Dose in ,Glaskörper:1_6474, 192.327, nanoGy 
Dose in ,Netzhaut:1_2065, 191.794, nanoGy 
Dose in ,Sclera:1_1058, 190.747, nanoGy 
Dose in ,Cornea:1_232, 351.651, nanoGy 
Dose in ,Choroidea:1_832, 0, picoGy 
Dose in ,Sehnerv:1_195, 0, picoGy 
Dose in ,Sclera:1_2551, 0, picoGy 
Dose in ,Choroidea:1_1935, 93.8848, nanoGy 
Dose in ,Glaskörper:1_4263, 82.3052, nanoGy 
Dose in ,Netzhaut:1_87, 0, picoGy 
Dose in ,Glaskörper:1_2612, 0, picoGy 
Dose in ,Kammerwasser:1_402, 18.7668, nanoGy 
Dose in ,Glaskörper:1_3518, 157.423, nanoGy 
Dose in ,Sehnerv:1_181, 0, picoGy 
Dose in ,Choroidea:1_1921, 945.86, nanoGy 
Dose in ,Sclera:1_2545, 412.512, nanoGy 
Dose in ,Netzhaut:1_93, 138.642, nanoGy 
Dose in ,Glaskörper:1_4277, 39.4689, nanoGy 
Dose in ,Netzhaut:1_1578, 0, picoGy 
Dose in ,Glaskörper:1_5169, 41.0716, nanoGy 
Dose in ,Kammerwasser:1_416, 32.8727, nanoGy 
Dose in ,Glaskörper:1_2606, 262.834, nanoGy 
Dose in ,Glaskörper:1_6460, 129.174, nanoGy 
Dose in ,Applikator:1_683, 185.803, nanoGy 
Dose in ,Netzhaut:1_2071, 132.991, nanoGy 
Dose in ,Choroidea:1_826, 0, picoGy 
Dose in ,Cornea:1_226, 444.743, nanoGy 
Dose in ,Cornea:1_43, 167.301, nanoGy 
Dose in ,Choroidea:1_62, 182.478, nanoGy 
Dose in ,Choroidea:1_198, 31.1324, nanoGy 
Dose in ,Glaskörper:1_6306, 134.072, nanoGy 
Dose in ,Glaskörper:1_770, 87.5357, nanoGy 
Dose in ,Glaskörper:1_1469, 86.8554, nanoGy 
Dose in ,Kammerwasser:1_370, 0, picoGy 
Dose in ,Glaskörper:1_2160, 134.883, nanoGy 
